,Unnamed: 0,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID,HeadphoneStyle,Wireless,HeadphoneType
662,668,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
663,669,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
664,670,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
665,671,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
666,672,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
667,673,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
668,674,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
669,675,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
670,676,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",586219737.0,4.6,86,28.99,why,1,,6.0,1.0,,proof,lightweight,,,,,4.0,,Y,
671,677,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,571298612.0,4.1,127,229.99,beats,0,on,40.0,1.0,cancel,,9.17 oz,,,,,3.0,over,Y,on
672,678,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",585374518.0,3.7,10,279.0,bose,0,,6.0,1.0,cancel,,,,,,,11.0,in,Y,in
673,679,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,575563048.0,4.7,235,379.0,turn,0,,20.0,1.0,cancel,,lightweight,,,,,700.0,over,Y,over
674,680,Walkers Razor Flat Dark Earth American Flag,,4.4,7,47.99,the,0,,,1.0,reduct,,,,,23db,,23.0,,Y,over
675,681,Apple AirPods Pro,577856461.0,4.6,2245,219.0,active,1,in,24.0,,cancel,resist,,,,,,1.0,in,Y,in
676,682,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12,35.99,perfect,0,,,1.0,reduct,,550g,,20hz,3db,,50.0,,N,
