name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Sennheiser - HD 458BT Wireless Noise Cancelling Headphones (HD 458BT Exclusive) - Black/Red,Sennheiser,HD 458BT,6422051,99.98,4,64,1,,,1,cancel,,
"Audio-Technica - Audio Technica ATH-CLR100ISPK SonicFuel Earbuds, Pink - Pink",Audio-Technica,AUD ATHCLR100ISPK,6424147,14.99,,,0,in,,1,isolate,,
1MORE - Dual Driver ANC Pro Wireless Noise Cancelling In-Ear Headphones - Black,1MORE,2BT-PRO,6413833,149.99,3.9,8,1,in,20,1,cancel,resist,
Beats by Dr. Dre - Beats Studio³ Wireless Noise Cancelling Headphones - Gray,Beats by Dr. Dre,MTQY2LL/A,6316142,349.99,4.7,8759,1,,22,1,cancel,,
JLab Audio - Play Wireless Stereo Gaming Earphones - Black/Blue,JLab Audio,GEBPLAYRBLKBLU84,6396200,49.99,4.2,27,1,in,11,1,cancel,,
KIDdesigns - eKids Super Mario Youth Wired Over the Ear  Headphones - blue,KIDdesigns,MO-140.EXv0,6424163,19.99,4.8,4,0,,,0,isolate,,92298949086
eKids - Toy Story 4 Wireless On-Ear Headphones - Blue/Yellow,eKids,TS-B50.FXV9M,6351558,29.99,4.6,887,1,on,30,1,isolate,,
V-MODA - Crossfade 2 Wireless Over-the-Ear Headphones - Rose Gold,V-MODA,XFBT2-RGOLDB,5879402,199.98,4.7,35,1,,14,1,isolate,resist,
iHome - eKids Super Mario Wireless Over-the-Ear Headphones - White/Red/Blue,iHome,MO-B50.EXV0,6390246,29.99,5,2,1,,28,1,isolate,,
Sony - WH-1000XM3 Wireless Noise Cancelling Over-the-Ear Headphones with Google Assistant - Black,Sony,WH1000XM3/B,6280544,349.99,4.7,4995,1,,30,1,cancel,,
Sony - 1AM2 Wired Over-the-Ear Hi-Res Headphones - Black,Sony,MDR1AM2,6211544,299.99,4.7,94,0,,,1,isolate,,
JBL - Endurance Peak II True Wireless Sports Headphones - Black,JBL,JBLENDURPEAKIIBKAM,6432288,99.99,,,1,in,6,1,isolate,resist,
JLab Audio - JBuddies Play Gaming Headset - Black/Grey,JLab Audio,GHBJPLAYRBLKGRY4,6419540,49.99,4.1,43,1,,22,1,isolate,,
TaoTronics - TT-BH067BB Wireless In-Ear Headphones - Black,TaoTronics,TT-BH067BB,6356520,10.99,3.9,123,1,in,20,1,isolate,resist,
Ausounds - AU Flex ANC Planar Noice Cancelling Earphone - Gray,Ausounds,AUFANC101,6434336,199.99,4.6,7,1,in,22,1,cancel,resist,
JVC - Powerful Sound On Ear Headphones - Black,JVC,HAS31MB,6415428,19.99,4.4,79,0,on,,1,isolate,resist,
V-MODA - XS Wired On-Ear Headphones - White Silver,V-MODA,XS-U-WSILVER,5526126,179.98,4.9,13,0,on,,1,isolate,resist,
JAM - Been There Wireless On-Ear Headphones - Cream Soda,JAM,HX-HP202CS,6277513,59.99,2.5,2,1,on,14,1,isolate,resist,
eKids - PAW Patrol Youth Wired Headphones - Styles May Vary,eKids,PW-140MA.EXV7,5184904,19.99,4.4,3788,0,,,0,isolate,,92298923352
JBL - Under Armour Sport Pivot Wireless In-Ear Headphones - White,JBL,UAJBLPIVOTWHTAM,6391331,129.99,,,1,in,9,1,isolate,,
Sentry - Deluxe BT300 Wireless On-Ear Headphones - Black,Sentry,HPX-BT300,6356917,24.99,4,6,1,on,,1,isolate,,
JVC - Air Cushion Wireless In-Ear Headphones - Blue,JVC,HAFX22WA,6412851,29.99,4.4,17,1,in,,0,isolate,,46838081262
TCL - MTRO series MTRO200WT Wired On-Ear Headphones - Ash White,TCL,MTRO200WTNA,6392332,19.99,5,2,0,on,,1,isolate,,
Sony - WF-1000XM3 True Wireless Noise Cancelling In-Ear Headphones - Black,Sony,WF1000XM3/B,6359820,168,4.1,1871,1,in,6,1,cancel,,
Skullcandy - Method In-Ear Wireless Sport Headphones - Gray/Black,Skullcandy,S2NQW-M448,6373243,63.99,3,1,1,in,9,1,isolate,resist,
eKids - Disney Junior Minnie Wireless Headphones - White/Pink,eKids,MM-B50.FXV8,6351561,29.99,4.6,887,1,on,18,1,isolate,,
KIDdesigns - eKids Hot Wheels Wired Over the Ear Headphones - yellow,KIDdesigns,HW-140.EXv0,6423349,19.99,4.8,4,0,,,0,isolate,,92298948027
Audio-Technica - ATH On-Ear DJ Headphones - Black,Audio-Technica,AUD ATHPRO7X,6381795,199.99,,,0,on,,0,isolate,,
Audio-Technica - Wireless On-Ear Headphones - Black,Audio-Technica,AUD ATHSR5BTBK,5578125,149.99,4.3,3,1,on,38,1,isolate,,
Microsoft - Surface Earbuds - Graphite,Microsoft,HVM-00011,6434294,199.99,3.8,42,1,in,8,1,isolate,resist,
Beats by Dr. Dre - Beats Solo³ Wireless Headphones - Gloss Black,Beats by Dr. Dre,MNEN2LL/A,5577846,120.99,4.7,13910,1,on,40,1,isolate,,
Bang & Olufsen Beoplay H9 3rd Gen Wireless Noise Canceling Over-the-Ear - Matte Black,Bang & Olufsen,52621BBR,6371576,499.98,4.4,42,1,,25,1,cancel,,
JLab Audio - Studio ANC Wireless On-Ear Headphones - Black,JLab Audio,HBASTUDIOANCRBLK4,6396199,59.99,4.4,75,1,on,34,1,cancel,,
TCL - SOCL series SOCL200BK Wired In-Ear Headphones - Phantom Black,TCL,SOCL200BKNA,6392357,10.99,3,1,0,in,,1,isolate,,
Skullcandy - Jib True Wireless In-Ear Headphones - 92 Blue - Blue,Skullcandy,S2JTW-N745,6436857,29.99,5,1,1,in,,0,isolate,,8.10016E+11
1MORE - Piston Fit Wired In-Ear Headphones - Pink Gold,1MORE,101-PGD,6220210,16.99,4.6,18,0,in,,1,isolate,,
Razer Hammerhead True Wireless Bluetooth Earbuds: Low-Latency - Water Resistant - Bluetooth 5.0 Auto Pairing - Black,Razer,53706BBR,6422829,99.99,4.4,8,1,on,,0,isolate,resist,8.11659E+11
"JBL - Quantum 400 RGB Wired DTS Headphone:X v2.0 Gaming Headset for PC, PS4, Xbox One, Nintendo Switch and Mobile Devices - Black",JBL,JBLQUANTUM400BLKAM,6408569,99.99,4.4,35,0,,,1,isolate,,
Beats by Dr. Dre - urBeats³ Earphones with 3.5mm Plug - Black,Beats by Dr. Dre,MU982LL/A,6296106,59.99,4.4,621,0,in,,1,isolate,,
JVC - HA S35BT Wireless On-Ear Headphones - Black,JVC,HAS35BTB,6346660,49.99,4.1,403,1,on,17,1,isolate,,
Sony - WI-1000XM2 Wireless Noise-Canceling In-Ear Headphones - Black,Sony,WI1000XM2/B,6395364,299.99,4,39,1,in,10,1,cancel,resist,
Skullcandy - Riff Wireless On-Ear Headphones - Deep Red,Skullcandy,S5PXW-M685,6411947,49.99,4.4,701,1,on,12,1,cancel,,
KIDdesigns - Star Wars The Mandalorian The Child Bluetooth Headphones - black,KIDdesigns,MD-B50.FXv0,6424161,29.99,5,1,1,,,0,isolate,,92298950693
