name,price,rating,rating_amount,brand,model,ASIN,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Headphones PC Gaming Stereo World of Warcraft Fortnite Diablo League of Legends Laptop Mac Headset w/Mic LED Lights 6.5ft Cord Padded Headband Earcups Video Games (Viper-X Gaming Headset),22.96,3.8,13,SOUNDLOGIC,,B07J9PDMKW,0,over,,1,isolate,,
Super Bass Bluetooth Headphone Over Ear Stereo Wireless Headset with Microphone Micro-SD Card Play,99.99,,,,,B08LYFCBLK,0,,,0,,,
"Over Ear Headphones with Mic, F-airy Tail Logo 16 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MLB2P6C,0,,,0,,,
"Barlingrock Wireless Headset Bluetooth 4.1 Stereo Over Ear Foldable Headphones Built-in Mic, Pc Game Headsets, Hd Mic, Hd Sound, Much More Clear Music and Talking",22.99,,,Barlingrock,,B082F52WXH,1,over,6,1,,,
Califone 3068AV-10L Switchable Headphones Classpack,104.64,3.1,3,Califone,3068AV-10L Switchable Headphones Classpack,,0,over,,0,,,
"Over Ear Headphones with Mic, Purple Rose Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MT6FH4X,0,,,0,,,
"Over Ear Headphones with Mic, Blue Butterfly 4 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MQBQJLV,0,,,0,,,
"Over Ear Headphones with Mic, Under-Tale Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MVWF2H7,0,,,0,,,
Bluetooth Headphones Wireless Headset Microphone HiFi Stereo Headset Active Noise Cancelling Wireless Over Ear Bluetooth Headphones,40,,,,,B08MQ9SL69,1,over,,0,,,
"Over Ear Headphones with Mic, F-airy Tail Logo 17 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MLJK68J,0,,,0,,,
"Stereo Gaming Headset Headset Wired Stereo Headphones Sonic Blue Lightweight with Mic Over Ear, Fashion Headsets for Smartphone and Tv 3.5Mm Black",,,,ZSDAFGHKKK,,B085M91W4D,0,over,,0,,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Over Ear Quick Charge Wireless Headset Comfortable Lightweight Rechargeable,,,,N&F,,B08M5VS6KR,1,over,,1,,,
AmazonBasics Lightweight On-Ear Headphones - Black,,4.2,5911,AmazonBasics,,B00NBEWB4U,0,on,,0,,,
Hemobllo Kids Headset Creative Unicorn Headphone Cartoon Unicorn Headset Led Light Up Over-Ear Headphone for Kids Girls Boys,,,,Hemobllo,,B08L54Q6SH,0,,,0,,,
"Wireless Earphone Ear-Hook Headphone Handsfree Mic for Moto G7 Power, Single Headset Over-Ear Earbud Compatible with Motorola Moto G7 Power",49.99,,,ANSEWIRELESS,,B084TT7G6L,1,over,8,1,reduct,,
Wireless Foldable Bluetooth Headphones Stereo BT Earphone Gaming B3 Headphones Red and Black Color,17.99,,,Generic,,B08GS4ZGCT,1,,,0,,,
"Gaming Headset, Joso 3.5mm Wired Bass Stereo Noise Isolation Over Ear Gaming Headphones with Mic for PC, Laptop, Computer, Cellphone, PS4, Nintendo Switch - Volume Control (Ovann X1 Black and Green)",24.98,,,,,B08K8Z3L25,0,over,,1,cancel,,
Men's Boys Alaskan Malamute Foldable Headphones Over Ear Headset Wired Headphones Classic Earphone Call Controller Headphone for Mens Work,22.99,,,,,B08MTMBRCT,0,,,0,reduct,,
"Headphones Kir-by Noise Cancelling Headphones - Wired Stereo Bass Headphones with Mic, Over Ear Headset",,1,1,76PQZAF,,B086LJZH23,0,over,,0,isolate,,
JXILY Professional Bluetooth 5.0 Headphones Wireless Foldable Headset Over Ear Bluetooth Headphones with Microphone and Volume Control for Cell Phones TV Laptop Computer,102.99,,,JXILY,,,1,over,30,1,,,
Wireless Over Ear Bluetooth Headphones Active Noise Cancelling Bluetooth 5.0 Microphone Over Ear Quick Charge Wired Wireless Headset Memory Foam Ear Cups,,,,,,B08MC6JWYJ,0,,,1,isolate,,
"Bluetooth Headband Sleep Headphones, AGPTEK Wireless Sleeping Eye Mask for Side Sleepers, Sports, Travel, Snoring, Meditation, Women, Men",18.99,3.7,308,AGPTEK,,B07HD2T4QY,1,over,8,0,,,
Adults Teen Girls Jack Skellington Foldable Headphones Over Ear Headset Wired Headphones Noise Cancelling Earphone Microphone Headphone for Womens Travel,22.99,,,,,B08KHP89XS,0,,,0,reduct,,
"AKG K371 Closed-Back Studio Headphones for Critical Listening, Podcast and Music Production Bundle with Blucoil 6-FT Headphone Extension Cable (3.5mm), and Full-Sized HardBody Pro Headphone Case",149,4,2,AKG,,B08669D3TN,0,,,1,,,
"Contixo KB-300 Kid Safe Over The Ear Wireless Bluetooth LED Headphone w/Volume Limiter, Built-in Microphone, Micro SD, FM Stereo Radio (Green + Blue) - Best Gift",19.99,3.9,226,Contixo,FBA_KB-300,B01KGNX0G6,1,over,,1,isolate,,
Active Noise Canceling Bluetooth Over-Ear Wireless Headphones Lagoon ANC JP Explorer (Brown/Gray)【Japan Domestic Genuine Products】【Ships from Japan】,,,,B,,B07ZXWZS39,1,over,45,1,cancel,,
"Active Noise Cancelling Headphones, Bluetooth Capable with Mic, Deep Bass & for Over Ear, for Travel Work TV PC Cellphone, Black, Ultra Soft Ear Cushions, Soundproof by Cellairis",99.99,4.1,6,Cellairis,GLOBAL CELLULAR,B07JGPYQKR,1,over,8,1,cancel,,
"Over Ear Headphones with Mic, Colorful Stars 3 Comfortable Head-Mounted Ear Protector Bass Stereo Wired Headphones for Travel/Work/TV/Computer/Cellphone- Big Sound, Great Bass",23.99,,,,,B08MQHKB57,0,,,0,,,
"Aftershokz Wireless Trekz Titanium Mini Bone Conduction Headphones (Slate Grey), 2.1",99,4.5,2203,Aftershokz,FBA_AS600MINI-SG,B06X9Y361F,1,in,,0,,,
"Over Ear Headphones, Foldable Wired Headset Compact Stereo HiFi Sound Headphones with Adjustable Headband, Support TF Card",,,,Tosuny,,B07T5BXVG5,1,over,,0,,,
